lot_id,lot_name,address_hint,business_name,business_address,place_id,impact_weight,business_type,notes,confidence,source_url
816_washington_scopa_2,816 Washington Parking (Scopa 2),816 Washington Blvd,The Venice Whaler,"10 Washington Blvd, Venice, CA 90292",,2.0,restaurant/bar,Major Washington/Pier restaurant and nightlife signal,high,https://whalerbeachbar.com/
816_washington_scopa_2,816 Washington Parking (Scopa 2),816 Washington Blvd,Abbot Kinney restaurant corridor,"Abbot Kinney Blvd, Venice, CA 90291",,1.2,restaurant_corridor,Nearby restaurant corridor proxy; verify exact businesses with Google Places,low,
2913_washington_scopa_1,2913 Washington Parking (Scopa 1),2913 Washington Blvd,Scopa Italian Roots,"2905 Washington Blvd, Marina del Rey, CA 90292",,2.5,restaurant,Primary Scopa-lot demand driver,high,https://www.opentable.com/r/scopa-italian-roots-marina-del-rey
2913_washington_scopa_1,2913 Washington Parking (Scopa 1),2913 Washington Blvd,Charcoal Venice,"425 Washington Blvd, Marina del Rey, CA 90292",,1.4,restaurant,High-end dinner signal on Washington corridor,medium,
2913_washington_scopa_1,2913 Washington Parking (Scopa 1),2913 Washington Blvd,Baja Cantina,"311 Washington Blvd, Marina del Rey, CA 90292",,1.3,restaurant/bar,Washington Blvd restaurant/bar signal,medium,
2913_washington_scopa_1,2913 Washington Parking (Scopa 1),2913 Washington Blvd,The Venice Whaler,"10 Washington Blvd, Venice, CA 90292",,2.0,restaurant/bar,Major Washington/Pier restaurant and nightlife signal,high,https://whalerbeachbar.com/
2913_washington_scopa_1,2913 Washington Parking (Scopa 1),2913 Washington Blvd,Abbot Kinney restaurant corridor,"Abbot Kinney Blvd, Venice, CA 90291",,1.2,restaurant_corridor,Nearby restaurant corridor proxy; verify exact businesses with Google Places,low,
25_rose,25 Rose Parking,25 Rose Ave,The Rose Venice,"220 Rose Ave, Venice, CA 90291",,2.4,restaurant/cafe,Primary Rose-lot demand driver,high,https://www.therosevenice.la/
25_rose,25 Rose Parking,25 Rose Ave,Gjusta Bakery,"320 Sunset Ave, Venice, CA 90291",,2.0,bakery/cafe,Strong daytime/brunch demand driver near Rose/Sunset,medium,
25_rose,25 Rose Parking,25 Rose Ave,Gjelina,"1429 Abbot Kinney Blvd, Venice, CA 90291",,1.8,restaurant,Strong Abbot Kinney restaurant signal,high,https://www.gjelina.com/location/gjelina-venice-ca/
25_rose,25 Rose Parking,25 Rose Ave,Salt & Straw Abbot Kinney,"1357 Abbot Kinney Blvd, Venice, CA 90291",,1.2,dessert,Evening tourist and foot-traffic signal,high,https://saltandstraw.com/pages/abbot-kinney
25_rose,25 Rose Parking,25 Rose Ave,Intelligentsia Venice,"1331 Abbot Kinney Blvd, Venice, CA 90291",,1.2,coffee,Morning/daytime coffee foot traffic signal,high,https://www.intelligentsia.com/pages/venice-coffeebar
220_rose,220 Rose Parking,220 Rose Ave,The Rose Venice,"220 Rose Ave, Venice, CA 90291",,2.4,restaurant/cafe,Primary Rose-lot demand driver,high,https://www.therosevenice.la/
220_rose,220 Rose Parking,220 Rose Ave,Gjusta Bakery,"320 Sunset Ave, Venice, CA 90291",,2.0,bakery/cafe,Strong daytime/brunch demand driver near Rose/Sunset,medium,
220_rose,220 Rose Parking,220 Rose Ave,Gjelina,"1429 Abbot Kinney Blvd, Venice, CA 90291",,1.8,restaurant,Strong Abbot Kinney restaurant signal,high,https://www.gjelina.com/location/gjelina-venice-ca/
220_rose,220 Rose Parking,220 Rose Ave,Salt & Straw Abbot Kinney,"1357 Abbot Kinney Blvd, Venice, CA 90291",,1.2,dessert,Evening tourist and foot-traffic signal,high,https://saltandstraw.com/pages/abbot-kinney
220_rose,220 Rose Parking,220 Rose Ave,Intelligentsia Venice,"1331 Abbot Kinney Blvd, Venice, CA 90291",,1.2,coffee,Morning/daytime coffee foot traffic signal,high,https://www.intelligentsia.com/pages/venice-coffeebar
5_dudley,5 Dudley Ave Venice Parking,5 Dudley Ave,The Rose Venice,"220 Rose Ave, Venice, CA 90291",,2.4,restaurant/cafe,Primary Rose-lot demand driver,high,https://www.therosevenice.la/
5_dudley,5 Dudley Ave Venice Parking,5 Dudley Ave,Gjusta Bakery,"320 Sunset Ave, Venice, CA 90291",,2.0,bakery/cafe,Strong daytime/brunch demand driver near Rose/Sunset,medium,
5_dudley,5 Dudley Ave Venice Parking,5 Dudley Ave,Gjelina,"1429 Abbot Kinney Blvd, Venice, CA 90291",,1.8,restaurant,Strong Abbot Kinney restaurant signal,high,https://www.gjelina.com/location/gjelina-venice-ca/
5_dudley,5 Dudley Ave Venice Parking,5 Dudley Ave,Salt & Straw Abbot Kinney,"1357 Abbot Kinney Blvd, Venice, CA 90291",,1.2,dessert,Evening tourist and foot-traffic signal,high,https://saltandstraw.com/pages/abbot-kinney
5_dudley,5 Dudley Ave Venice Parking,5 Dudley Ave,Intelligentsia Venice,"1331 Abbot Kinney Blvd, Venice, CA 90291",,1.2,coffee,Morning/daytime coffee foot traffic signal,high,https://www.intelligentsia.com/pages/venice-coffeebar
5_dudley,5 Dudley Ave Venice Parking,5 Dudley Ave,Cadillac Hotel,"8 Dudley Ave, Venice, CA 90291",,2.0,hotel,Direct nearby hotel/guest demand signal,high,https://www.discoverlosangeles.com/hotels/cadillac-hotel
46_market,46 Market Street Parking,46 Market Street,Market Venice,"72 Market St, Venice, CA 90291",,2.0,restaurant,Market Street restaurant/nightlife signal,high,https://www.marketvenice.com/
46_market,46 Market Street Parking,46 Market Street,Belles Beach House,"24 Windward Ave, Venice, CA 90291",,1.8,restaurant/nightlife,Nearby Windward demand spillover,high,https://www.bellesbeachhouse.com/
46_market,46 Market Street Parking,46 Market Street,Great White Venice,"1604 Pacific Ave, Venice, CA 90291",,1.3,restaurant/cafe,Nearby all-day cafe demand signal,high,https://resy.com/cities/los-angeles-ca/venues/great-white
46_market,46 Market Street Parking,46 Market Street,Hotel Erwin,"1697 Pacific Ave, Venice, CA 90291",,1.2,hotel,Hotel and rooftop spillover demand,high,https://www.hotelerwin.com/
pardee,Pardee Parking,Pardee,Pardee Properties,"1524 Abbot Kinney Blvd, Venice, CA 90291",,2.0,real_estate/office,Direct/nearby office appointment demand; weekday signal,high,https://pardeeproperties.com/contact/
pardee,Pardee Parking,Pardee,Gjelina,"1429 Abbot Kinney Blvd, Venice, CA 90291",,1.5,restaurant,Abbot Kinney restaurant spillover,high,https://www.gjelina.com/location/gjelina-venice-ca/
pardee,Pardee Parking,Pardee,Salt & Straw Abbot Kinney,"1357 Abbot Kinney Blvd, Venice, CA 90291",,1.0,dessert,Abbot Kinney evening/tourist signal,high,https://saltandstraw.com/pages/abbot-kinney
pardee,Pardee Parking,Pardee,Intelligentsia Venice,"1331 Abbot Kinney Blvd, Venice, CA 90291",,1.0,coffee,Morning/daytime signal,high,https://www.intelligentsia.com/pages/venice-coffeebar
1218_half_lincoln,1218 1/2 Lincoln Blvd Parking,1218 1/2 Lincoln Blvd,Erewhon Venice,"585 Venice Blvd, Venice, CA 90291",,1.6,grocery/cafe,Strong all-day grocery/cafe demand nearby,high,https://erewhon.com/locations
1218_half_lincoln,1218 1/2 Lincoln Blvd Parking,1218 1/2 Lincoln Blvd,Gjelina,"1429 Abbot Kinney Blvd, Venice, CA 90291",,1.2,restaurant,Abbot Kinney restaurant spillover,high,https://www.gjelina.com/location/gjelina-venice-ca/
1218_half_lincoln,1218 1/2 Lincoln Blvd Parking,1218 1/2 Lincoln Blvd,Intelligentsia Venice,"1331 Abbot Kinney Blvd, Venice, CA 90291",,1.0,coffee,Morning/daytime Abbot Kinney signal,high,https://www.intelligentsia.com/pages/venice-coffeebar
1218_half_lincoln,1218 1/2 Lincoln Blvd Parking,1218 1/2 Lincoln Blvd,Salt & Straw Abbot Kinney,"1357 Abbot Kinney Blvd, Venice, CA 90291",,0.9,dessert,Evening/tourist signal,high,https://saltandstraw.com/pages/abbot-kinney
1501_main,1501 Main Parking,1501 Main St,Main Street Santa Monica,"Main St, Santa Monica, CA 90405",,1.8,district,District-level Main Street foot-traffic proxy,high,https://www.santamonica.com/experience-santa-monica/neighborhoods/main-street/
1501_main,1501 Main Parking,1501 Main St,Urth Caffe Santa Monica,"2327 Main St, Santa Monica, CA 90405",,1.5,cafe,Main Street daytime/brunch signal,medium,
1501_main,1501 Main Parking,1501 Main St,Library Alehouse,"2911 Main St, Santa Monica, CA 90405",,1.3,restaurant/bar,Main Street restaurant/bar signal,medium,
1501_main,1501 Main Parking,1501 Main St,Edgemar Restaurant + Lounge,"2435 Main St, Santa Monica, CA 90405",,1.8,restaurant,Edgemar/Main Street dinner signal,high,https://www.santamonica.com/restaurants/edgemar/
1501_main,1501 Main Parking,1501 Main St,Edgemar Center,"2415 Main St, Santa Monica, CA 90405",,1.5,retail/mixed_use,Direct Edgemar center anchor,high,https://www.edgemar.com/visiting.html
18th_avenue,18th Avenue Parking,18th Avenue,Main Street Santa Monica,"Main St, Santa Monica, CA 90405",,1.8,district,District-level Main Street foot-traffic proxy,high,https://www.santamonica.com/experience-santa-monica/neighborhoods/main-street/
18th_avenue,18th Avenue Parking,18th Avenue,Urth Caffe Santa Monica,"2327 Main St, Santa Monica, CA 90405",,1.5,cafe,Main Street daytime/brunch signal,medium,
18th_avenue,18th Avenue Parking,18th Avenue,Library Alehouse,"2911 Main St, Santa Monica, CA 90405",,1.3,restaurant/bar,Main Street restaurant/bar signal,medium,
18th_avenue,18th Avenue Parking,18th Avenue,Edgemar Restaurant + Lounge,"2435 Main St, Santa Monica, CA 90405",,1.8,restaurant,Edgemar/Main Street dinner signal,high,https://www.santamonica.com/restaurants/edgemar/
18th_avenue,18th Avenue Parking,18th Avenue,Edgemar Center,"2415 Main St, Santa Monica, CA 90405",,1.5,retail/mixed_use,Direct Edgemar center anchor,high,https://www.edgemar.com/visiting.html
2415_main_edgemar,2415 Main St Parking (Edgemar),2415 Main St,Main Street Santa Monica,"Main St, Santa Monica, CA 90405",,1.8,district,District-level Main Street foot-traffic proxy,high,https://www.santamonica.com/experience-santa-monica/neighborhoods/main-street/
2415_main_edgemar,2415 Main St Parking (Edgemar),2415 Main St,Urth Caffe Santa Monica,"2327 Main St, Santa Monica, CA 90405",,1.5,cafe,Main Street daytime/brunch signal,medium,
2415_main_edgemar,2415 Main St Parking (Edgemar),2415 Main St,Library Alehouse,"2911 Main St, Santa Monica, CA 90405",,1.3,restaurant/bar,Main Street restaurant/bar signal,medium,
2415_main_edgemar,2415 Main St Parking (Edgemar),2415 Main St,Edgemar Restaurant + Lounge,"2435 Main St, Santa Monica, CA 90405",,1.8,restaurant,Edgemar/Main Street dinner signal,high,https://www.santamonica.com/restaurants/edgemar/
2415_main_edgemar,2415 Main St Parking (Edgemar),2415 Main St,Edgemar Center,"2415 Main St, Santa Monica, CA 90405",,1.5,retail/mixed_use,Direct Edgemar center anchor,high,https://www.edgemar.com/visiting.html
3016_main,3016 Main Parking,3016 Main St,Papille Gustative,"2823 Main St, Santa Monica, CA 90405",,1.5,restaurant/cafe,Nearby Main Street breakfast/lunch/dinner signal,high,https://papillegustativela.com/
3016_main,3016 Main Parking,3016 Main St,Library Alehouse,"2911 Main St, Santa Monica, CA 90405",,1.6,restaurant/bar,Very nearby Main Street food/bar signal,medium,
3016_main,3016 Main Parking,3016 Main St,Main Street Santa Monica,"Main St, Santa Monica, CA 90405",,1.6,district,District-level Main Street foot-traffic proxy,high,https://www.santamonica.com/experience-santa-monica/neighborhoods/main-street/
3016_main,3016 Main Parking,3016 Main St,Edgemar Restaurant + Lounge,"2435 Main St, Santa Monica, CA 90405",,1.2,restaurant,North Main/Edgemar spillover,high,https://www.santamonica.com/restaurants/edgemar/
407_colorado,407 Colorado Parking,407 Colorado Ave,Santa Monica Place,"395 Santa Monica Pl, Santa Monica, CA 90401",,2.0,shopping_center,Major downtown Santa Monica retail/tourist demand,medium,
407_colorado,407 Colorado Parking,407 Colorado Ave,Third Street Promenade,"1351 3rd Street Promenade, Santa Monica, CA 90401",,1.8,shopping_district,Major pedestrian shopping/restaurant corridor,medium,
407_colorado,407 Colorado Parking,407 Colorado Ave,Santa Monica Pier,"200 Santa Monica Pier, Santa Monica, CA 90401",,1.6,tourist_attraction,Tourist attraction traffic spillover,medium,
407_colorado,407 Colorado Parking,407 Colorado Ave,Downtown Santa Monica Station,"402 Colorado Ave, Santa Monica, CA 90401",,1.2,transit,Transit station and pedestrian flow proxy,medium,
407_colorado,407 Colorado Parking,407 Colorado Ave,Bank of the West Lot,"407 Colorado Ave, Santa Monica, CA 90401",,1.0,parking/anchor,Original lot label; use to resolve Google Place if needed,medium,
6125_hollywood,6125 Hollywood Blvd Parking,6125 Hollywood Blvd,Fonda Theatre,"6126 Hollywood Blvd, Los Angeles, CA 90028",,2.4,venue,Directly across/adjacent event demand driver,high,https://hotelguides.com/california/fonda-theatre-ca-hotels.html
6125_hollywood,6125 Hollywood Blvd Parking,6125 Hollywood Blvd,Hollywood Walk of Fame,"Hollywood Blvd, Los Angeles, CA 90028",,1.8,tourist_attraction,Major Hollywood pedestrian/tourist demand signal,high,https://www.discoverlosangeles.com/things-to-do/famous-attractions-things-to-do-on-hollywood-boulevard
6125_hollywood,6125 Hollywood Blvd Parking,6125 Hollywood Blvd,Pantages Theatre,"6233 Hollywood Blvd, Los Angeles, CA 90028",,1.8,venue,Nearby event/showtime demand driver,medium,
6125_hollywood,6125 Hollywood Blvd Parking,6125 Hollywood Blvd,W Hollywood,"6250 Hollywood Blvd, Los Angeles, CA 90028",,1.2,hotel,Hotel/bar/event spillover demand,medium,
6125_hollywood,6125 Hollywood Blvd Parking,6125 Hollywood Blvd,Avalon Hollywood,"1735 Vine St, Los Angeles, CA 90028",,1.5,venue/nightlife,Nearby nightlife/event signal,medium,
139_south_beverly,139 South Beverly Parking,139 S Beverly Dr,South Beverly Grill,"122 S Beverly Dr, Beverly Hills, CA 90212",,2.2,restaurant,Direct nearby restaurant demand signal,high,https://southbeverlygrill.com/contact/
139_south_beverly,139 South Beverly Parking,139 S Beverly Dr,Piccolo Paradiso,"150 S Beverly Dr, Beverly Hills, CA 90212",,1.6,restaurant,Nearby Beverly Drive dinner signal,medium,
139_south_beverly,139 South Beverly Parking,139 S Beverly Dr,Rodeo Drive,"Rodeo Dr, Beverly Hills, CA 90210",,1.5,shopping_district,Luxury shopping/tourist demand proxy,medium,
139_south_beverly,139 South Beverly Parking,139 S Beverly Dr,Beverly Wilshire Hotel,"9500 Wilshire Blvd, Beverly Hills, CA 90212",,1.2,hotel,Hotel/visitor demand proxy,medium,
gladstones,Gladstones Parking,Gladstones,Gladstones,"17300 Pacific Coast Hwy, Pacific Palisades, CA 90272",,2.5,restaurant,Primary direct restaurant/visitor demand driver,high,https://www.gladstones.com/
gladstones,Gladstones Parking,Gladstones,Will Rogers State Beach,"17000 Pacific Coast Hwy, Pacific Palisades, CA 90272",,1.7,beach,Beach visitor demand near Gladstones,medium,
gladstones,Gladstones Parking,Gladstones,Sunset Boulevard and Pacific Coast Highway,"Sunset Blvd & Pacific Coast Hwy, Pacific Palisades, CA 90272",,1.0,traffic_node,Beach/commute traffic proxy around PCH/Sunset,medium,
11801_w_olympic,11801 W Olympic Blvd Parking,11801 W Olympic Blvd,Michaels West Olympic Boulevard,"West Olympic Blvd, Los Angeles, CA 90064",,1.4,retail,Nearby retail proxy; verify exact Place ID in Google Places,low,
11801_w_olympic,11801 W Olympic Blvd Parking,11801 W Olympic Blvd,Sawtelle Japantown restaurant corridor,"Sawtelle Blvd, Los Angeles, CA 90025",,1.3,restaurant_corridor,West LA restaurant corridor proxy; verify distance/importance,low,
11801_w_olympic,11801 W Olympic Blvd Parking,11801 W Olympic Blvd,Olympic Boulevard office corridor,"11801 W Olympic Blvd, Los Angeles, CA 90064",,1.2,office_corridor,Weekday office/commute demand proxy,low,
11801_w_olympic,11801 W Olympic Blvd Parking,11801 W Olympic Blvd,Starbucks West Olympic,"West Olympic Blvd, Los Angeles, CA 90064",,1.0,coffee,Coffee/shop open-close demand proxy; verify exact store,low,
