date,start_time,end_time,record_type,title,parking_lot,expected_people,weather_condition,temp_f,rain_chance,impact,lat,lon,notes,source,priority,direction,reason_type,reason,expected_impact,suggested_action
2026-06-29,,,weather,Weather: partly cloudy,all,,partly cloudy,72.0,10.0,3.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-06-30,,,weather,Weather: sunny,all,,sunny,75.0,5.0,6.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-01,,,weather,Weather: sunny,all,,sunny,77.0,5.0,7.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-02,,,weather,Weather: sunny,all,,sunny,78.0,5.0,8.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-03,,,weather,Weather: warm and sunny,all,,warm and sunny,80.0,5.0,10.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-04,,,weather,Weather: hot and sunny,all,,hot and sunny,82.0,5.0,14.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-05,,,weather,Weather: sunny,all,,sunny,79.0,5.0,9.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-04,,,holiday,Independence Day / July 4 holiday,all,,,,,16.0,,,"National holiday. Beach, tourism, restaurant, and nightlife demand expected to rise.",calendar,,,,,,
2026-07-02,10:00,17:00,event,FIFA World Cup 2026 Round of 32 at SoFi Stadium,11801 W Olympic Blvd Parking,70000.0,,,,20.0,33.9535,-118.3392,Source-backed major LA event. SoFi listing shows a July 2 Round of 32 match. Impact estimated by distance.,SoFi/FIFA schedule,,,,,,
2026-07-02,10:00,17:00,event,FIFA World Cup 2026 Round of 32 at SoFi Stadium,139 South Beverly Parking,70000.0,,,,12.0,33.9535,-118.3392,Source-backed major LA event. SoFi listing shows a July 2 Round of 32 match. Impact estimated by distance.,SoFi/FIFA schedule,,,,,,
2026-07-02,10:00,17:00,event,FIFA World Cup 2026 Round of 32 at SoFi Stadium,6125 Hollywood Blvd Parking **,70000.0,,,,12.0,33.9535,-118.3392,Source-backed major LA event. SoFi listing shows a July 2 Round of 32 match. Impact estimated by distance.,SoFi/FIFA schedule,,,,,,
2026-07-02,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,11801 W Olympic Blvd Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-02,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,139 South Beverly Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-02,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,6125 Hollywood Blvd Parking **,52000.0,,,,11.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-03,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,11801 W Olympic Blvd Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-03,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,139 South Beverly Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-03,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,6125 Hollywood Blvd Parking **,52000.0,,,,11.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-04,14:00,20:00,event,Dodgers vs Padres at Dodger Stadium,11801 W Olympic Blvd Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-04,14:00,20:00,event,Dodgers vs Padres at Dodger Stadium,139 South Beverly Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-04,14:00,20:00,event,Dodgers vs Padres at Dodger Stadium,6125 Hollywood Blvd Parking **,52000.0,,,,11.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-05,12:00,20:00,event,Dodgers vs Padres at Dodger Stadium,11801 W Olympic Blvd Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-05,12:00,20:00,event,Dodgers vs Padres at Dodger Stadium,139 South Beverly Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-05,12:00,20:00,event,Dodgers vs Padres at Dodger Stadium,6125 Hollywood Blvd Parking **,52000.0,,,,11.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,100 Venice Way Parking,12000.0,,,,24.0,33.9872,-118.4737,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,100 Venice Way Parking,8000.0,,,,16.0,33.9872,-118.4737,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,102 Washington Parking (Arbor 2),7000.0,,,,16.0,33.9808,-118.4638,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,102 Washington Parking (Arbor 2),5000.0,,,,10.0,33.9808,-118.4638,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,102 Washington Parking (Arbor),7000.0,,,,16.0,33.9809,-118.4642,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,102 Washington Parking (Arbor),5000.0,,,,10.0,33.9809,-118.4642,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,121 Windward Parking,12000.0,,,,24.0,33.9871,-118.4716,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,121 Windward Parking,8000.0,,,,16.0,33.9871,-118.4716,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,124 Washington Parking (Grand Canal),7000.0,,,,16.0,33.981,-118.4652,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,124 Washington Parking (Grand Canal),5000.0,,,,10.0,33.981,-118.4652,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,1501 Main Parking,12000.0,,,,24.0,34.0138,-118.4925,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,1501 Main Parking,8000.0,,,,16.0,34.0138,-118.4925,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,18th Avenue Parking,12000.0,,,,24.0,33.9844,-118.4686,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,18th Avenue Parking,8000.0,,,,16.0,33.9844,-118.4686,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,2415 Main St Parking (Edgemar),7000.0,,,,16.0,34.004,-118.4864,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,2415 Main St Parking (Edgemar),5000.0,,,,10.0,34.004,-118.4864,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,29 Windward Ave Parking **,12000.0,,,,24.0,33.987,-118.473,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,29 Windward Ave Parking **,8000.0,,,,16.0,33.987,-118.473,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,3016 Main Parking,7000.0,,,,16.0,33.999,-118.4809,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,3016 Main Parking,5000.0,,,,10.0,33.999,-118.4809,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,601 Ocean Front Walk Parking **,12000.0,,,,24.0,33.9933,-118.477,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,601 Ocean Front Walk Parking **,8000.0,,,,16.0,33.9933,-118.477,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,909 OCEAN FRONT WALK Parking **,12000.0,,,,24.0,33.9892,-118.4752,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,909 OCEAN FRONT WALK Parking **,8000.0,,,,16.0,33.9892,-118.4752,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,909 (Garage) Parking,12000.0,,,,24.0,33.9894,-118.4747,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,909 (Garage) Parking,8000.0,,,,16.0,33.9894,-118.4747,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,801 Speedway Parking,12000.0,,,,24.0,33.9908,-118.4748,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,801 Speedway Parking,8000.0,,,,16.0,33.9908,-118.4748,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,801 Ocean Front Walk Parking,12000.0,,,,24.0,33.9906,-118.4754,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,801 Ocean Front Walk Parking,8000.0,,,,16.0,33.9906,-118.4754,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,407 Colorado Parking,12000.0,,,,24.0,34.0147,-118.491,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,407 Colorado Parking,8000.0,,,,16.0,34.0147,-118.491,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,"5 Dudley ave, Venice Parking",12000.0,,,,24.0,33.9926,-118.4763,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,"5 Dudley ave, Venice Parking",8000.0,,,,16.0,33.9926,-118.4763,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,25 Rose Parking,7000.0,,,,16.0,33.9968,-118.478,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,25 Rose Parking,5000.0,,,,10.0,33.9968,-118.478,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,Gladstones Parking **,7000.0,,,,16.0,34.0385,-118.5594,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,Gladstones Parking **,5000.0,,,,10.0,34.0385,-118.5594,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,155 Washington Parking,7000.0,,,,16.0,33.9814,-118.4637,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,155 Washington Parking,5000.0,,,,10.0,33.9814,-118.4637,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,220 Rose Parking,7000.0,,,,16.0,33.9973,-118.4752,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,220 Rose Parking,5000.0,,,,10.0,33.9973,-118.4752,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,816 Washington Parking (Scopa 2),7000.0,,,,16.0,33.989,-118.4529,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,816 Washington Parking (Scopa 2),5000.0,,,,10.0,33.989,-118.4529,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,2913 Washington Parking (Scopa 1),7000.0,,,,16.0,33.9882,-118.4537,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,2913 Washington Parking (Scopa 1),5000.0,,,,10.0,33.9882,-118.4537,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,46 Market Street Parking,12000.0,,,,24.0,33.9878,-118.4729,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,46 Market Street Parking,8000.0,,,,16.0,33.9878,-118.4729,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-04,09:00,22:00,event,July 4 beach visitor surge,Pardee Parking **,12000.0,,,,24.0,33.995,-118.4748,Planning estimate for Independence Day beach/tourism demand near this lot.,local estimate,,,,,,
2026-07-05,10:00,19:00,event,Sunday beach and boardwalk visitor surge,Pardee Parking **,8000.0,,,,16.0,33.995,-118.4748,Planning estimate for post-holiday weekend beach demand.,local estimate,,,,,,
2026-07-03,11:00,22:00,event,Holiday weekend restaurant and retail surge,11801 W Olympic Blvd Parking,3500.0,,,,8.0,34.0318,-118.4493,Local planning estimate.,local estimate,,,,,,
2026-07-04,11:00,22:00,event,Holiday weekend restaurant and retail surge,11801 W Olympic Blvd Parking,4500.0,,,,10.0,34.0318,-118.4493,Holiday local planning estimate.,local estimate,,,,,,
2026-07-04,10:00,20:00,event,Local business weekend demand,1218 1/2 Lincoln Blvd Parking,2500.0,,,,7.0,33.9948,-118.4558,Local planning estimate.,local estimate,,,,,,
2026-07-03,11:00,22:00,event,Holiday weekend restaurant and retail surge,139 South Beverly Parking,3500.0,,,,8.0,34.0646,-118.3993,Local planning estimate.,local estimate,,,,,,
2026-07-04,11:00,22:00,event,Holiday weekend restaurant and retail surge,139 South Beverly Parking,4500.0,,,,10.0,34.0646,-118.3993,Holiday local planning estimate.,local estimate,,,,,,
2026-07-03,18:00,02:00,event,Hollywood nightlife weekend surge,6125 Hollywood Blvd Parking **,9000.0,,,,15.0,34.1016,-118.3246,Local planning estimate.,local estimate,,,,,,
2026-07-04,18:00,02:00,event,Hollywood nightlife weekend surge,6125 Hollywood Blvd Parking **,12000.0,,,,18.0,34.1016,-118.3246,Holiday weekend local planning estimate.,local estimate,,,,,,
2026-06-30,10:00-18:00,,watch_note,Beach/Venice daytime demand likely above normal,100 Venice Way; 121 Windward; 29 Windward; 601 Ocean Front Walk; 801 Ocean Front Walk; 801 Speedway; 909 Ocean Front; 909 Garage; 46 Market; 5 Dudley; Pardee; 25 Rose; 220 Rose; 1501 Main; 407 Colorado,,,,,,,,Sunny weather should lift beach and tourist demand above a normal Tuesday.,derived from weekly planning CSV,Medium,Higher than usual,Weather,"Sunny weather row has positive impact, and coastal businesses peak from late morning through afternoon.",+5 to +10,Watch Venice/Ocean Front/Boardwalk lots from late morning through afternoon. Keep normal pricing unless entries start running high.
2026-07-02,10:00-17:00,,watch_note,SoFi World Cup event may raise Westside/Hollywood pressure,11801 W Olympic Blvd Parking; 139 South Beverly Parking; 6125 Hollywood Blvd Parking,,,,,,,,FIFA World Cup Round of 32 at SoFi Stadium is in the weekly CSV.,derived from weekly planning CSV,High,Higher than usual,Major event,"The SoFi event is not next door to the coastal lots, but it can create regional traffic pressure and raise demand around West LA, Beverly Hills, and Hollywood.",+12 to +20,Watch these lots earlier than the event time because arrivals and traffic can start hours before.
2026-07-02,17:00-23:00,,watch_note,Dodgers vs Padres may add evening regional traffic,6125 Hollywood Blvd Parking; 139 South Beverly Parking; 11801 W Olympic Blvd Parking,,,,,,,,Dodgers vs Padres game is in the weekly CSV.,derived from weekly planning CSV,Medium,Moderately higher than usual,Sports event,"The game is not directly next to these lots, but it can add evening traffic and regional demand pressure.",+7 to +11,"Treat this as a traffic pressure note for Hollywood, West LA, and Beverly. Do not over-apply it to Venice beach lots."
2026-07-03,11:00-22:00,,watch_note,Holiday weekend buildup likely starts before July 4,"Beach, Venice, Santa Monica, Rose, Main Street, and Washington/Marina lots",,,,,,,,Friday before July 4 with sunny/warm weather and holiday weekend demand rows.,derived from weekly planning CSV,High,Higher than usual,Holiday weekend buildup,"Beach, restaurant, and nightlife demand should start building on Friday before the actual holiday.",+10 to +18,Start watching coastal lots before lunch. Increase attention on dinner/nightlife lots after 5 PM.
2026-07-03,18:00-02:00,,watch_note,Hollywood nightlife likely elevated Friday night,6125 Hollywood Blvd Parking,,,,,,,,Hollywood nightlife weekend surge is in the weekly CSV.,derived from weekly planning CSV,High,Higher than usual,Nightlife / holiday weekend,Holiday weekend nightlife can continue after midnight.,+15,Watch evening and late-night utilization. Keep this separate from daytime tourist demand.
2026-07-04,09:00-22:00,,watch_note,Critical July 4 beach demand surge,100 Venice Way; 121 Windward; 29 Windward; 601 Ocean Front Walk; 801 Ocean Front Walk; 801 Speedway; 909 Ocean Front; 909 Garage; 46 Market; 5 Dudley; Pardee; 25 Rose; 220 Rose; 1501 Main; 407 Colorado; Gladstones,,,,,,,,"July 4 holiday, hot/sunny weather, and beach visitor surge rows all stack together.",derived from weekly planning CSV,Critical,Much higher than usual,Holiday + beach demand + weather,"This is the biggest watch day for Venice, Santa Monica, Rose, Main Street, Ocean Front, and beach-adjacent lots.",+24 or higher,Watch starting in the morning. Expect demand to stay elevated through evening. Consider higher pricing and extra staffing for beach-adjacent lots.
2026-07-04,14:00-20:00,,watch_note,Dodgers game overlaps with July 4 regional demand,6125 Hollywood Blvd Parking; 139 South Beverly Parking; 11801 W Olympic Blvd Parking,,,,,,,,Dodgers vs Padres and July 4 holiday effects overlap.,derived from weekly planning CSV,High,Higher than usual,Sports + holiday,Holiday behavior plus sports traffic can make these lots behave differently from a normal Saturday.,+10 to +18,Watch Hollywood and Westside lots in the afternoon. Do not assume normal Saturday behavior.
2026-07-05,10:00-19:00,,watch_note,Post-holiday Sunday beach demand likely remains high,"Beach, Venice, Santa Monica, Rose, Main Street, and Washington/Marina lots",,,,,,,,Sunday beach/boardwalk visitor surge and sunny weather remain in the CSV.,derived from weekly planning CSV,High,Higher than usual,Post-holiday Sunday,"Demand should stay elevated after July 4, especially late morning through early evening.",+10 to +16,Expect a slower start than July 4 but strong midday/afternoon demand.
2026-07-05,12:00-20:00,,watch_note,Dodgers Sunday game may keep Hollywood/Westside pressure elevated,6125 Hollywood Blvd Parking; 139 South Beverly Parking; 11801 W Olympic Blvd Parking,,,,,,,,Dodgers vs Padres Sunday game remains in the CSV.,derived from weekly planning CSV,Medium,Moderately higher than usual,Sports event,"Regional traffic pressure may continue, but coastal demand is likely the bigger driver for beach lots.",+7 to +11,"Monitor, but prioritize coastal lots unless real entries show Hollywood/Westside spikes."
2026-06-29 to 2026-07-05,Any time,,watch_note,Manual closure checklist,All lots,,,,,,,,"No closure rows were included. If a road, beach access point, restaurant, or venue is closed, add a closure row with negative impact.",manual operations note,Manual update,Possible lower than expected if closure exists,Closure placeholder,No closure rows were included in the planning CSV.,Negative if closure exists,"If a closure is found, add a row with record_type=event, title='Road closure near lot', and impact=-20."
